,Komoditas,Nilai-Ekspor-19,Berat-Ekspor-19,Nilai-Impor-19,Berat-Impor-19,Nilai-Ekspor-20,Berat-Ekspor-20,Nilai-Impor-20,Berat-Impor-20,Nilai-Ekspor-21,Berat-Ekspor-21,Nilai-Impor-21,Berat-Impor-21,Nilai-Ekspor-22,Berat-Ekspor-22,Nilai-Impor-22,Berat-Impor-22,Nilai-Ekspor-23 Jan-Mar,Berat-Ekspor-23 Jan-Mar,Nilai-Impor-23 Jan-Mar,Berat-Impor-23 Jan-Mar
43,[44] Kayu dan barang dari kayu,319446051.38,426884675.52,30775435,69474543,348253822.9,492318896.94,31351252,42854624,538975774.02,678192618.69,46221770,49388792,327402585.58,427081604.19,51613013,190586077,319446051.38,426884675.52,30775435,69474543
44,[45] Gabus dan barang dari gabus,1392.87,1108.5,585917,87182,4390.19,3670.69,549752,55985,2936.28,3507.65,576972,48452,4412.8,1700.0,682897,97263,1392.87,1108.5,585917,87182
45,[46] Barang anyaman,7643975.02,1748834.56,46639,21419,10612909.74,2127718.5,38694,29069,13714020.22,2486524.58,23076,2489,8670588.7,1737108.26,94697,7698,7643975.02,1748834.56,46639,21419
46,[47] Pulp dari kayu,208988228.31,478498859.7,87445032,322930044,217490325.82,522603988.86,116468723,370203930,333796840.02,636625569.56,183671560,373495318,394956255.32,589082497.18,134012970,324942450,208988228.31,478498859.7,87445032,322930044
47,"[48] Kertas, karton, dan barang daripadanya",346734903.42,486859418.48,115894324,73136467,328822420.99,484947365.5,108580039,60738726,339035514.8,421091854.43,155720901,89628083,433012068.26,464414724.33,135248714,66823370,346734903.42,486859418.48,115894324,73136467
48,[49] Produk industri percetakan,2038808.13,761577.28,11431483,1692200,5592702.15,1158174.05,12324989,1668390,2791774.85,459709.97,14164372,1655126,2513661.73,492528.37,15617604,1981275,2038808.13,761577.28,11431483,1692200
49,[50] Sutra,93969.02,9428.1,134543,16142,189601.63,16212.84,313436,18872,16045.14,1836.79,379357,11564,3509.51,6766.35,153577,7501,93969.02,9428.1,134543,16142
50,"[51] Wol, bulu hewan halus atau kasar",175405.15,53175.39,5979466,266067,99991.04,14423.21,2058876,125620,32405.52,25556.37,10639937,377217,31700.28,21712.15,6640638,278644,175405.15,53175.39,5979466,266067
51,[52] Kapas,56571325.52,22634206.86,152028381,56812344,68265993.17,27262150.25,125087181,55877751,81434135.93,21804887.68,199996692,65108901,34362524.04,10239671.29,135717011,33704543,56571325.52,22634206.86,152028381,56812344
52,[53] Serat tekstil nabati lainnya,697419.46,2490225.27,14053218,3206960,836034.56,3561565.08,7545048,2813920,1299374.58,5039293.37,20071054,5241785,492347.1,2304968.79,14557401,1373065,697419.46,2490225.27,14053218,3206960
53,[54] Filamen buatan,66700651.16,24763623.93,138900346,36277909,52974436.38,20699931.66,118860300,37780361,63292775.79,19601091.45,200265093,46107356,64272510.11,17119639.15,153239429,43661521,66700651.16,24763623.93,138900346,36277909
54,[55] Serat stapel buatan,175473398.47,103193599.29,82089239,28704838,148361858.16,94009476.64,73086748,27896432,205879897.19,93335866.0,108327152,38598934,167308583.95,91894281.09,84815435,27631379,175473398.47,103193599.29,82089239,28704838
55,"[56] Kain kempa, benang khusus, dan benang pintal",12958501.75,3122657.66,85312494,11991407,13815643.02,3832905.55,48265174,13378352,13413673.97,3648403.17,57041386,14432989,11942480.43,3409681.16,53794668,14508591,12958501.75,3122657.66,85312494,11991407
56,[57] Karpet dan tekstil penutup lantai lainnya,3772028.19,1196537.85,5869747,2535899,3281761.68,1008816.72,1611907,436993,4193578.09,1164821.5,375945,111473,3475917.8,1138616.9,1710763,469808,3772028.19,1196537.85,5869747,2535899
